time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.645,0.1935,0,0,0,0,0,0,0,0,0,0,0
0.65,0.195,0,0,0,0,0,0,0,0,0,0,0
0.655,0.1965,0,0,0,0,0,0,0,0,0,0,0
0.66,0.198,0,0,0,0,0,0,0,0,0,0,0
0.665,0.1995,0,0,0,0,0,0,0,0,0,0,0
0.67,0.201,0,0,0,0,0,0,0,0,0,0,0
0.675,0.2025,0,0,0,0,0,0,0,0,0,0,0
0.68,0.204,0,0,0,0,0,0,0,0,0,0,0
0.685,0.2055,0,0,0,0,0,0,0,0,0,0,0
0.69,0.207,0,0,0,0,0,0,0,0,0,0,0
0.695,0.2085,0,0,0,0,0,0,0,0,0,0,0
0.7,0.21,0,0,0,0,0,0,0,0,0,0,0
0.705,0.2115,0,0,0,0,0,0,0,0,0,0,0
0.71,0.213,0,0,0,0,0,0,0,0,0,0,0
0.715,0.2145,0,0,0,0,0,0,0,0,0,0,0
0.72,0.216,0,0,0,0,0,0,0,0,0,0,0
0.725,0.2175,0,0,0,0,0,0,0,0,0,0,0
0.73,0.219,0,0,0,0,0,0,0,0,0,0,0
0.735,0.2205,0,0,0,0,0,0,0,0,0,0,0
0.74,0.222,0,0,0,0,0,0,0,0,0,0,0
0.745,0.2235,0,0,0,0,0,0,0,0,0,0,0
0.75,0.225,0,0,0,0,0,0,0,0,0,0,0
0.755,0.2265,0,0,0,0,0,0,0,0,0,0,0
0.76,0.228,0,0,0,0,0,0,0,0,0,0,0
0.765,0.2295,0,0,0,0,0,0,0,0,0,0,0
0.77,0.231,0,0,0,0,0,0,0,0,0,0,0
0.775,0.2325,0,0,0,0,0,0,0,0,0,0,0
0.78,0.234,0,0,0,0,0,0,0,0,0,0,0
0.785,0.2355,0,0,0,0,0,0,0,0,0,0,0
0.79,0.237,0,0,0,0,0,0,0,0,0,0,0
0.795,0.2385,0,0,0,0,0,0,0,0,0,0,0
0.8,0.24,0,0,0,0,0,0,0,0,0,0,0
0.805,0.2415,0,0,0,0,0,0,0,0,0,0,0
0.81,0.243,0,0,0,0,0,0,0,0,0,0,0
0.815,0.2445,0,0,0,0,0,0,0,0,0,0,0
0.82,0.246,0,0,0,0,0,0,0,0,0,0,0
0.825,0.2475,0,0,0,0,0,0,0,0,0,0,0
0.83,0.249,0,0,0,0,0,0,0,0,0,0,0
0.835,0.2505,0,0,0,0,0,0,0,0,0,0,0
0.84,0.252,0,0,0,0,0,0,0,0,0,0,0
0.845,0.2535,0,0,0,0,0,0,0,0,0,0,0
0.85,0.255,0,0,0,0,0,0,0,0,0,0,0
0.855,0.2565,0,0,0,0,0,0,0,0,0,0,0
